Parameters:TimeZone=America/New_York
GCLID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
Cj0KCQiAj9m7BhD1ARIsANsIIvDC0slhDGJds5KSO9oVgQhC57zX0Hl34fZ-GwyRIA1YZfcbJMGdi6caAqPpEALw_wcB,Qualified Lead,1/14/2025 12:00:00 AM America/New_York,200,USD
Cj0KCQiAj9m7BhD1ARIsANsIIvDC0slhDGJds5KSO9oVgQhC57zX0Hl34fZ-GwyRIA1YZfcbJMGdi6caAqPpEALw_wcB,Qualified Lead,1/2/2025 12:00:00 AM America/New_York,200,USD
Cj0KCQiAj9m7BhD1ARIsANsIIvDC0slhDGJds5KSO9oVgQhC57zX0Hl34fZ-GwyRIA1YZfcbJMGdi6caAqPpEALw_wcB,Sold Job,1/14/2025 12:00:01 AM America/New_York,21039,USD
Cj0KCQiA3sq6BhD2ARIsAJ8MRwWVd9GPopdaORnqy--NQELdi0Y1ZQ6K8n9HlgeQLdtVvfa4FMmvD5saAmSqEALw_wcB,Qualified Lead,1/14/2025 12:00:00 AM America/New_York,200,USD
Cj0KCQiA3sq6BhD2ARIsAJ8MRwWVd9GPopdaORnqy--NQELdi0Y1ZQ6K8n9HlgeQLdtVvfa4FMmvD5saAmSqEALw_wcB,Sold Job,1/14/2025 12:00:01 AM America/New_York,2540,USD
Cj0KCQiAvvO7BhC-ARIsAGFyToUDf-R9tmceoEG3n-s2yoByBdGmXCTnXza30S8qXiNcbK5cTv6zg44aAiESEALw_wcB,Qualified Lead,1/8/2025 12:00:00 AM America/New_York,200,USD
Cj0KCQiAvvO7BhC-ARIsAGFyToUDf-R9tmceoEG3n-s2yoByBdGmXCTnXza30S8qXiNcbK5cTv6zg44aAiESEALw_wcB,Sold Job,1/9/2025 12:00:00 AM America/New_York,7193,USD
